cesta_k_souboru,sirka,vyska,prumerny_jas,label
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000040.jpg,877,1390,112.57,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000041.jpg,1300,956,83.99,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000042.jpg,1300,956,69.21,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000043.jpg,3000,1500,144.34,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000044.jpg,3000,1500,196.76,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000045.jpg,1080,2252,99.34,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000046.jpg,500,600,56.01,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000047.jpg,591,900,126.44,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000048.jpg,2048,1152,45.84,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000049.jpg,1024,1024,84.88,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000050.jpg,926,517,56.95,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000051.jpg,552,900,90.67,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000052.jpg,886,1729,79.47,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000053.jpg,960,1200,115.54,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000054.jpg,736,1311,133.01,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000055.jpg,552,690,76.57,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000056.jpg,800,800,242.27,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000057.jpg,736,1308,103.73,1
dataset/ronaldo\Cristiano_Ronaldo_Real_Madrid_face\000058.jpg,736,1439,107.21,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000001.jpg,1232,2188,32.5,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000002.jpg,2560,1600,68.03,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000003.jpg,640,426,118.75,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000004.jpeg,4000,6000,38.0,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000005.jpeg,5629,3753,70.67,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000006.jpeg,3888,5184,48.55,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000007.jpeg,3189,3986,119.34,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000008.jpeg,2000,3000,151.83,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000009.jpeg,1819,2729,101.25,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000010.jpg,1500,945,182.5,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000011.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000012.jpeg,1943,2914,113.7,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000013.jpg,970,660,49.14,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000014.jpg,720,768,83.07,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000015.jpg,735,918,119.54,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000016.jpg,1205,1567,162.46,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000017.jpg,2560,1600,76.66,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000018.jpg,2160,3840,75.95,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000019.jpg,683,1024,113.35,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000020.jpg,1203,648,141.95,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000021.jpg,1920,1080,174.16,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000022.jpg,800,547,105.75,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000023.jpg,552,900,90.67,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000024.jpg,640,1136,56.58,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000025.jpg,1300,956,47.69,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000026.jpg,1300,957,101.72,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000027.jpg,236,236,42.49,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000028.jpg,750,974,122.03,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000029.jpg,800,1422,136.1,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000030.jpg,800,1422,109.24,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000031.jpg,800,1422,89.04,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000032.jpg,1080,1080,148.13,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000033.jpg,1280,2276,141.54,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000034.jpg,2048,2048,47.15,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000035.jpg,1179,2556,85.66,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000036.jpg,2880,540,28.27,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000037.jpg,800,532,154.58,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000038.jpg,1200,1200,75.42,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000039.jpg,1920,1080,82.86,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000040.jpg,1200,717,121.85,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000041.jpg,900,600,56.17,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000042.jpg,2036,3000,112.11,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000043.jpg,1280,720,31.77,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000044.jpg,1062,1062,137.92,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000045.jpg,735,667,6.4,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000046.jpg,696,1024,154.94,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000047.jpg,1080,2112,106.97,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000048.jpg,736,736,129.41,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000049.jpg,736,1311,133.01,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000050.jpg,1080,2160,131.93,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000051.jpg,600,899,104.03,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000052.jpg,730,1024,81.58,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000053.jpg,1122,1080,12.85,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000054.jpg,850,604,190.57,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000055.jpg,720,717,45.2,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000056.jpg,750,1089,118.71,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000057.jpg,736,1462,179.71,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000058.jpg,988,1200,61.68,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000059.jpg,1080,1348,119.52,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000060.jpg,640,771,92.26,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000061.jpg,800,450,50.17,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000062.jpg,640,640,81.96,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000063.jpg,750,903,92.45,1
dataset/ronaldo\Cristiano_Ronaldo_serious_face\000064.jpg,982,1750,133.01,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000001.jpg,626,626,114.93,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000002.jpg,626,626,99.05,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000003.jpg,626,626,114.42,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000004.jpg,1180,2554,131.12,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000005.jpg,1180,2554,148.64,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000006.jpg,800,1422,136.67,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000007.jpg,626,626,93.14,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000008.jpg,626,626,117.0,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000009.jpg,1080,2160,131.93,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000010.jpg,736,1295,53.19,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000011.jpg,1152,2048,90.04,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000012.jpeg,2299,4096,112.07,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000013.jpg,1136,779,84.88,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000014.jpg,1080,2112,106.95,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000015.jpg,720,1280,80.79,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000016.jpg,800,1422,136.1,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000017.jpg,750,746,101.2,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000018.jpg,375,301,92.76,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000019.jpg,674,840,108.99,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000020.jpg,736,1309,89.51,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000021.jpg,1024,576,50.93,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000022.jpg,1300,955,31.04,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000023.jpg,2000,1333,151.39,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000024.jpg,1067,800,101.66,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000025.jpg,1125,2436,115.74,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000026.jpg,1094,1500,93.39,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000027.jpg,888,500,55.04,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000028.jpg,1500,942,95.02,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000029.jpg,736,1295,53.19,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000030.jpg,2560,1600,92.03,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000031.jpg,736,1308,97.7,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000032.jpg,890,1390,112.56,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000033.jpg,1280,720,71.82,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000034.jpg,1280,720,42.27,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000035.jpg,1280,720,45.77,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000036.jpg,960,1200,56.69,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000037.jpg,1080,1126,110.77,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000038.jpg,720,1280,115.79,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000039.jpg,1080,1350,65.05,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000040.jpg,236,414,73.03,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000041.jpg,1080,1043,75.7,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000042.jpg,2560,1600,76.5,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000043.jpg,1016,1918,110.84,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000044.jpg,720,1280,59.23,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000045.jpg,1080,1943,71.41,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000046.jpg,736,1311,133.01,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000047.jpg,675,1200,84.68,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000048.jpg,1280,720,54.03,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000049.jpg,720,1280,85.83,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000050.jpg,1151,2048,100.1,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000051.jpg,736,1439,107.21,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000052.jpg,1080,2175,113.76,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000053.jpg,1094,1085,111.27,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000054.jpg,828,1472,73.31,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000055.jpg,236,419,125.77,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000056.jpg,736,1309,111.84,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000057.jpg,720,891,123.39,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000058.jpg,735,735,104.44,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000059.jpg,831,1478,111.82,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000060.jpg,640,640,101.58,1
dataset/ronaldo\Cristiano_Ronaldo_smiling_face\000061.jpg,675,1200,114.33,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000001.jpg,300,549,114.95,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000002.jpg,588,377,111.3,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000003.jpg,1080,2160,131.93,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000004.jpg,1232,2188,32.5,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000005.jpg,720,405,96.5,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000006.jpg,1016,1016,197.29,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000007.jpg,982,1690,93.81,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000008.jpg,1016,1016,209.0,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000010.jpeg,2160,2700,79.4,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000011.png,2400,3000,89.51,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000012.jpeg,4000,6000,38.0,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000013.jpeg,5629,3753,70.67,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000014.jpeg,3189,3986,119.34,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000015.jpg,1920,1080,94.32,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000016.jpeg,2000,3000,151.83,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000017.jpeg,1819,2729,101.25,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000018.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000019.jpg,1500,945,182.5,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000020.jpeg,1943,2914,113.7,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000021.jpg,736,920,141.66,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000022.jpg,1763,1200,49.33,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000023.jpg,3000,2000,110.6,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000024.jpg,720,768,83.07,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000025.jpg,970,970,200.77,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000026.jpg,850,531,76.73,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000027.jpg,672,379,78.29,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000028.jpg,931,1572,190.21,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000029.jpg,640,480,112.01,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000030.jpg,522,1024,110.67,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000031.jpg,754,900,85.4,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000032.jpg,1920,1241,73.93,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000033.jpg,1280,853,72.88,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000034.jpg,1200,628,101.21,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000035.jpg,1344,768,95.08,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000036.jpg,1280,780,103.12,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000037.jpg,710,444,147.36,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000038.jpg,1500,955,75.12,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000039.jpg,338,695,70.48,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000040.jpg,2560,1440,103.16,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000041.jpg,490,368,88.94,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000042.jpg,1280,720,50.4,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000043.jpg,1280,720,82.25,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000044.jpg,1920,960,53.92,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000045.jpg,600,827,114.06,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000046.jpg,556,951,149.8,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000047.jpg,850,604,190.57,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000048.jpg,800,1724,183.14,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000049.jpg,1200,857,87.8,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000050.jpg,1320,743,111.35,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000051.jpg,1320,880,116.11,1
dataset/ronaldo\Cristiano_Ronaldo_Sporting_CP_face\000052.jpg,1200,800,116.11,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000001.jpg,1080,2160,131.93,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000002.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000003.jpg,828,828,94.86,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000004.jpg,982,1690,93.81,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000005.jpg,750,937,105.3,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000006.jpeg,2160,2700,79.4,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000007.png,2400,3000,89.51,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000008.jpeg,5629,3753,70.67,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000009.jpeg,3189,3986,119.34,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000010.jpg,640,640,113.43,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000011.jpeg,2000,3000,151.83,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000012.jpeg,1819,2729,101.25,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000013.jpg,1152,2048,90.04,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000014.jpg,1200,630,15.02,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000015.jpeg,3862,6000,92.5,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000016.jpeg,2299,4096,112.07,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000017.jpg,735,718,81.91,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000018.jpg,1080,2112,106.97,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000019.jpg,1763,1200,49.33,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000020.jpg,720,768,83.07,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000021.jpg,1203,648,141.95,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000022.jpg,750,974,122.03,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000023.jpg,640,1136,72.74,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000024.jpg,736,920,89.98,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000025.jpg,1000,1000,209.76,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000026.jpg,1125,2436,89.84,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000027.jpg,1068,1062,67.77,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000028.jpg,1000,1000,176.32,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000029.jpg,736,736,83.75,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000030.jpg,650,650,149.09,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000031.jpg,828,828,100.08,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000032.jpg,552,900,90.67,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000033.jpg,742,575,101.69,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000034.jpg,1158,636,100.6,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000035.jpg,1260,1260,180.24,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000036.jpg,634,959,102.15,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000037.jpg,456,842,115.92,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000038.jpg,550,300,129.11,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000039.jpg,1408,2000,94.17,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000040.jpg,736,548,56.42,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000041.jpg,1280,720,75.12,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000042.jpg,1280,720,33.35,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000043.jpg,736,777,81.85,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000044.jpg,720,1280,99.66,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000045.jpg,736,920,101.98,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000046.jpg,1063,1890,61.73,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000047.jpg,1176,1200,118.22,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000048.jpg,1200,1194,55.45,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000049.jpg,429,768,156.95,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000050.jpg,736,899,114.94,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000051.jpg,736,1308,151.94,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000052.jpg,640,625,149.99,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000053.jpg,735,918,35.23,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000054.jpg,257,510,116.5,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000055.jpg,1080,1349,148.65,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000056.jpg,299,494,142.18,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000057.jpg,1242,2688,89.73,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000058.jpg,350,498,136.38,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000059.jpg,736,919,35.62,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000060.jpg,1200,1114,100.41,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000061.jpg,736,1105,120.17,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000062.jpg,750,1089,118.71,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000063.jpg,750,990,54.53,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000064.jpg,850,604,190.57,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000065.jpg,736,736,151.09,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000066.jpg,736,920,102.33,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000067.jpg,718,814,86.84,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000068.jpg,500,590,131.1,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000069.jpg,1080,1435,114.62,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000070.jpg,600,490,136.21,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000071.jpg,958,2048,66.14,1
dataset/ronaldo\Cristiano_Ronaldo_teenage_face\000072.jpg,749,802,72.57,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000001.jpg,276,450,93.74,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000002.jpeg,5629,3753,70.67,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000003.jpeg,3189,3986,119.34,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000004.jpg,1152,2048,90.04,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000005.jpg,1024,1024,83.92,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000006.jpg,1170,2080,88.86,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000007.jpg,474,842,105.57,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000008.jpg,1500,945,182.5,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000009.png,5628,4000,88.81,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000010.jpeg,3862,6000,92.5,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000011.jpeg,2299,4096,112.07,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000012.jpeg,3978,6000,92.81,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000013.jpeg,3428,5152,42.39,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000014.jpeg,6048,4024,203.7,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000015.jpg,730,1038,53.31,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000016.jpg,1080,2112,106.97,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000017.jpg,1080,1335,84.65,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000018.jpg,962,1068,109.15,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000019.jpg,1013,1200,90.37,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000020.jpg,891,891,135.1,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000021.jpg,1920,1080,85.1,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000022.jpg,1769,1227,90.92,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000023.jpg,1300,1007,94.58,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000024.jpg,800,1396,108.21,1
dataset/ronaldo\Cristiano_Ronaldo_training_face\000025.jpg,1925,1227,102.06,1
